date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Fri Jun 10,977,Marlins,978,Astros,+1.5,-140,-1.5,-140,+1.5,+100,-1.5,+145,+150,-170,+210,-155,o8,-110,u8,-110,o8.5,+100,u7.5,+105
Thu Jun 09,901,Diamondbacks,902,Reds,-1.5,+155,+1.5,+155,-1.5,+155,-1.5,+140,+100,-120,+125,-135,o9,-120,u9,100,o10,+105,u9.5,-105
Thu Jun 09,919,Cardinals,920,Rays,-1.5,+175,+1.5,+175,+1.5,-150,-1.5,+145,+100,-120,+145,-160,o7,-105,u7,-115,o7,+102,u6.5,+105
Thu Jun 09,921,Dodgers,922,White Sox,-1.5,+130,+1.5,+130,-1.5,+126,+1.5,-145,-120,+100,-130,+115,o8.5,-120,u8.5,100,o9,+102,u8.5,+100
Thu Jun 09,903,Phillies,904,Brewers,+1.5,-145,-1.5,-145,+1.5,-145,-1.5,+130,+140,-160,+150,-165,o7.5,-115,u7.5,-105,o7.5,+100,u7,+100
Thu Jun 09,905,Rockies,906,Giants,+1.5,+118,-1.5,+118,+1.5,+105,-1.5,-118,+235,-290,+215,-250,o8,-114,u8,-106,o8,-107,u8,-105
Thu Jun 09,907,Nationals,908,Marlins,-1.5,+140,+1.5,+140,-1.5,+190,-1.5,+150,-120,+100,+130,-145,o7.5,-115,u7.5,-105,o8.5,+100,u8,-105
Thu Jun 09,911,Athletics,912,Guardians,+1.5,-140,-1.5,-140,+1.5,-125,-1.5,+122,+136,-162,+175,-162,o9,100,u9,-122,o9,-103,u8.5,+105
Thu Jun 09,909,Pirates,910,Braves,+1.5,+120,-1.5,+120,+1.5,+128,-2.5,+105,+230,-290,+260,-300,o8,-115,u8,-105,o8.5,-117,u8.5,+105
Thu Jun 09,913,Yankees,914,Twins,-1.5,-110,+1.5,-110,-1.5,-125,+1.5,+110,-170,+150,-200,+180,o8,-110,u8,-110,o8.5,-104,u8,+100
Thu Jun 09,915,Orioles,916,Royals,-1.5,+150,+1.5,+150,-1.5,+150,-1.5,+175,-110,-110,-104,-110,o9.5,-110,u9.5,-110,o9.5,+100,u9.5,-118
Thu Jun 09,917,Red Sox,918,Angels,+1.5,-160,-1.5,-160,-1.5,+170,-1.5,+165,+125,-145,+115,-125,o7.5,-115,u7.5,-105,o7.5,+100,u7.5,-114
Wed Jun 08,971,Tigers,972,Pirates,+1.5,-195,-1.5,-195,-1.5,+170,-1.5,+184,+100,-120,+105,+850,o7.5,-115,u7.5,-105,o8.5,-105,u8,-103
Wed Jun 08,961,Blue Jays,962,Royals,-1.5,+135,+1.5,+135,-1.5,+115,+1.5,-125,-125,+105,-140,+128,o8,-115,u8,-105,o8.5,-114,u8.5,+100
Wed Jun 08,963,Mariners,964,Astros,+1.5,-150,-1.5,-150,+1.5,-165,-1.5,+150,+130,-150,+120,-135,o8.5,-110,u8.5,-110,o8.5,-102,u8,+100
Wed Jun 08,951,Diamondbacks,952,Reds,+1.5,-200,-1.5,-200,-1.5,+162,-1.5,+176,-105,-115,+102,-110,o8.5,-115,u8.5,-105,o9.5,+102,u9,-105
Wed Jun 08,953,Nationals,954,Marlins,+1.5,-110,-1.5,-110,+1.5,-115,-1.5,+112,+190,-230,+175,-198,o7,-118,u7,-104,o7.5,-110,u7.5,-105
Wed Jun 08,973,Cubs,974,Orioles,-1.5,+135,+1.5,+135,-1.5,+132,+1.5,-150,-125,+105,-125,+110,o8.5,-110,u8.5,-110,o9,+110,u8.5,+102
Wed Jun 08,965,Rangers,966,Guardians,+1.5,-180,-1.5,-180,+1.5,-150,-1.5,+140,+120,-140,+150,-165,o7,-115,u7,-105,o7.5,+105,u7,+105
Wed Jun 08,975,Cardinals,976,Rays,+1,+100,-1,+100,+1.5,-155,-1.5,+155,+150,-175,+145,-130,o7.5,-110,u7.5,-110,o8,+100,u6.5,+100
Wed Jun 08,977,Athletics,978,Braves,+1.5,-110,-1.5,-110,+1.5,+110,-1.5,-117,+190,-235,+210,-245,o8.5,-120,u8.5,100,o9.5,-103,u9,+105
Wed Jun 08,967,Yankees,968,Twins,-1.5,+110,+1.5,+110,-1.5,-110,+1.5,-105,-145,+125,-180,+165,o8,-110,u8,-110,o9.5,+100,u9,-105
Wed Jun 08,979,Dodgers,980,White Sox,-1.5,-110,+1.5,-110,-1.5,+125,+1.5,-110,-170,+150,-135,+150,o8.5,-115,u8.5,-105,o8.5,+100,u8,-104
Wed Jun 08,955,Phillies,956,Brewers,-1.5,+120,+1.5,+120,-1.5,+140,-1.5,+200,-130,+110,+145,+108,o8,100,u8,-120,o7.5,+100,u8,-104
Wed Jun 08,969,Red Sox,970,Angels,-1.5,+104,+1.5,+104,-1.5,+100,+1.5,-110,-149,+125,-160,+155,o9,-114,u9,-106,o8.5,+100,u8,+100
Wed Jun 08,957,Mets,958,Padres,+1.5,-190,-1.5,-190,-1.5,+175,-1.5,+184,+110,-130,+115,-121,o7,-105,u7,-115,o7.5,-105,u7,+104
Wed Jun 08,959,Rockies,960,Giants,+1.5,-140,-1.5,-140,+1.5,-105,-1.5,-110,+150,-170,+210,-225,o8,-105,u8,-115,o9,+105,u8.5,+110
Tue Jun 07,931,Rangers,932,Guardians,+1.5,-190,-1.5,-190,-1.5,+184,-1.5,+170,+110,-130,+115,-120,o8.5,-110,u8.5,-110,o8,+100,u7.5,-105
Tue Jun 07,901,Diamondbacks,902,Reds,+1,-125,-1,-125,+1.5,-145,-1.5,+140,+120,-139,+135,-135,o10,-118,u10,-100,o10.5,-108,u10.5,-104
Tue Jun 07,903,Nationals,904,Marlins,+1.5,-135,-1.5,-135,+1.5,-125,-1.5,+115,+150,-170,+165,-170,o8,-105,u8,-115,o9,-104,u8.5,+105
Tue Jun 07,923,Cubs,924,Orioles,-1.5,+160,+1.5,+160,-1.5,+150,-1.5,+180,-110,-110,-110,+100,o8.5,-105,u8.5,-115,o9,+102,u8.5,+105
Tue Jun 07,921,Tigers,922,Pirates,-1.5,+140,+1.5,+140,-1.5,+185,-1.5,+170,-120,+100,+105,+110,o7,-105,u7,-115,o7.5,-105,u8,+100
Tue Jun 07,925,Cardinals,926,Rays,+1.5,-170,-1.5,-170,+1.5,-150,-1.5,+140,+120,-140,+130,-145,o7.5,-120,u7.5,100,o7.5,-110,u7.5,-105
Tue Jun 07,927,Athletics,928,Braves,+1.5,-105,-1.5,-105,+1.5,+114,-2.5,+105,+185,-225,+230,-240,o8.5,-105,u8.5,-115,o9.5,-105,u9,+100
Tue Jun 07,913,Yankees,914,Twins,-1.5,+102,+1.5,+102,-1.5,+104,+1.5,-106,-157,+133,-157,+155,o9,-108,u9,-110,o9,+102,u8.5,+105
